Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
1;54;70;3841200;33;32;;;;;;
1;55;71;3907000;35;31;;;;;;
1;56;79;3906600;34;39;;;;;;
1;57;62;3875300;29;27;;;;;;
1;58;40;3794900;20;14;;;;;;
1;59;53;3439800;28;21;;;;;;
1;60;124;3534100;54;65;;;;;;
1;61;1802;3429300;757;1040;;;;;;
1;62;2083;3714500;854;1224;;;;;;
1;63;2506;3511400;1036;1465;;;;;;
1;64;1919;3494400;769;1145;;;;;;
1;65;2400;3592300;948;1447;;;;;;
1;66;2167;3639700;872;1289;;;;;;
1;67;2644;3788100;1220;1418;;;;;;
1;68;2238;3652400;898;1335;;;;;;
1;69;2408;3735600;1012;1391;;;;;;
1;70;2634;3519900;898;1730;;;;;;
1;71;4743;3749300;1867;2871;;;;;;
1;72;3873;3369000;1502;2366;;;;;;
1;73;4238;3437600;1795;2437;;;;;;
1;74;5233;3814600;2058;3169;;;;;;
1;75;5995;3875300;2597;3392;;;;;;
1;76;4695;3769300;1997;2692;;;;;;
1;77;4364;3603300;1753;2606;;;;;;
1;78;3513;3407400;1474;2034;;;;;;
1;79;4598;3673900;2005;2587;;;;;;
1;80;4370;3559500;1769;2595;;;;;;
2;1;1242;2350700;542;696;;;;;;
2;2;1311;1950500;560;748;;;;;;
2;3;1628;1897900;716;909;;;;;;
2;4;1729;1915400;622;1103;;;;;;
2;5;1034;1905300;368;663;;;;;;
2;6;1556;1919800;627;925;;;;;;
2;7;1126;1810500;408;715;;;;;;
2;8;1288;1980600;485;800;;;;;;
2;9;1364;1778400;624;737;;;;;;
2;10;1447;1832400;530;914;;;;;;
2;11;1619;3769500;600;1014;;;;;;
2;12;3135;3878200;1267;1863;;;;;;
2;13;2641;4055600;1027;1609;;;;;;
2;14;2916;3770000;1216;1695;;;;;;
2;15;2778;3838300;1120;1653;;;;;;
2;16;3216;3953500;1374;1837;;;;;;
2;17;2058;3596000;838;1215;;;;;;
2;18;2398;3889700;970;1422;;;;;;
2;19;2130;3728000;854;1271;;;;;;
2;20;2051;3571900;836;1210;;;;;;
2;21;19;1671000;10;6;;;;;;
2;22;38;1755400;19;17;;;;;;
2;23;20;1655100;11;6;;;;;;
2;24;26;1662200;14;10;;;;;;
2;25;16;1651000;8;5;;;;;;
2;26;22;1604000;12;8;;;;;;
2;27;115;1724200;48;64;;;;;;
2;28;19;1707600;10;6;;;;;;
2;29;20;1653600;11;7;;;;;;
2;30;26;1638900;14;9;;;;;;
2;31;20;1679400;11;7;;;;;;
2;32;61;1690100;27;32;;;;;;
2;33;245;1816800;190;52;;;;;;
2;34;28;2015200;13;12;;;;;;
2;35;156;1851300;55;98;;;;;;
2;36;2105;1590100;856;1246;;;;;;
2;37;2098;1599200;825;1270;;;;;;
2;38;2917;1675200;1129;1785;;;;;;
2;39;2642;1956200;1126;1513;;;;;;
2;40;2263;1669300;901;1359;;;;;;
2;41;1149;1477900;439;708;;;;;;
2;42;2478;1689300;1040;1435;;;;;;
2;43;1769;1523500;736;1030;;;;;;
2;44;3127;1752000;1221;1902;;;;;;
2;45;1963;1557800;829;1131;;;;;;
2;46;2175;1641900;874;1298;;;;;;
2;47;2358;1683300;950;1404;;;;;;
2;48;2523;1656400;1109;1411;;;;;;
2;49;2166;1660000;929;1234;;;;;;
2;50;2467;1684900;1045;1419;;;;;;
2;51;30;3280000;17;10;;;;;;
2;52;56;3415800;29;23;;;;;;
2;53;55;3539900;28;23;;;;;;
2;54;62;3525900;31;26;;;;;;
2;55;67;3652400;33;28;;;;;;
2;56;77;3794700;34;38;;;;;;
2;57;60;3721500;29;26;;;;;;
2;58;39;3830600;21;14;;;;;;
2;59;57;3892700;29;23;;;;;;
2;60;136;3803700;56;74;;;;;;
2;61;1873;3719800;734;1134;;;;;;
