Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
0;23;20;1657900;11;7;;;;;;
0;24;32;1736300;17;12;;;;;;
0;25;19;1670400;9;7;;;;;;
0;26;24;1513400;13;9;;;;;;
0;27;111;1432800;48;61;;;;;;
0;28;19;1474000;10;6;;;;;;
0;29;23;1650100;12;8;;;;;;
0;30;25;1409400;13;10;;;;;;
0;31;20;1337500;11;7;;;;;;
0;32;55;1434400;27;26;;;;;;
0;33;72;1352400;32;38;;;;;;
0;34;20;1278100;11;8;;;;;;
0;35;137;1413400;51;83;;;;;;
0;36;1995;1313000;702;1291;;;;;;
0;37;1983;1459300;715;1265;;;;;;
0;38;3111;1529500;1222;1886;;;;;;
0;39;2314;1446400;834;1477;;;;;;
0;40;2102;1423100;742;1357;;;;;;
0;41;1366;1371300;488;875;;;;;;
0;42;2282;1566800;804;1475;;;;;;
0;43;1448;1295100;568;878;;;;;;
0;44;3140;1481400;1260;1877;;;;;;
0;45;2068;1597000;724;1342;;;;;;
0;46;2083;1368500;915;1165;;;;;;
0;47;2238;1395800;791;1445;;;;;;
0;48;2148;1434100;751;1394;;;;;;
0;49;2340;1492800;809;1528;;;;;;
0;50;2225;1466100;811;1411;;;;;;
0;51;27;2608200;15;8;;;;;;
0;52;50;2592500;27;20;;;;;;
0;53;51;2683100;27;20;;;;;;
0;54;55;2623300;28;23;;;;;;
0;55;56;2724200;30;22;;;;;;
0;56;62;2716600;30;28;;;;;;
0;57;239;2708300;26;209;;;;;;
0;58;32;2601700;17;11;;;;;;
0;59;48;2726600;25;19;;;;;;
0;60;113;2609200;50;59;;;;;;
0;61;1498;2683500;598;896;;;;;;
0;62;2161;2915000;919;1237;;;;;;
0;63;2391;2849700;869;1518;;;;;;
0;64;1753;3023100;650;1099;;;;;;
0;65;2142;2654500;957;1180;;;;;;
0;66;2231;2750000;719;1508;;;;;;
0;67;2310;2832200;851;1454;;;;;;
0;68;1927;2988600;743;1180;;;;;;
0;69;2532;2944600;1032;1495;;;;;;
0;70;2343;2737300;851;1488;;;;;;
0;71;4760;3103700;2061;2694;;;;;;
0;72;3702;2669600;1432;2266;;;;;;
0;73;4046;2974700;1636;2405;;;;;;
0;74;4938;2942000;2275;2658;;;;;;
0;75;5560;3169100;2077;3478;;;;;;
0;76;4354;2977900;1685;2665;;;;;;
0;77;3927;2890100;1417;2506;;;;;;
0;78;3648;3137300;1483;2160;;;;;;
0;79;3809;2725000;1371;2433;;;;;;
0;80;4295;3188600;1520;2769;;;;;;
1;1;1068;1847900;337;728;;;;;;
1;2;1005;1527700;392;610;;;;;;
1;3;1153;1434800;454;696;;;;;;
1;4;1626;1429800;522;1102;;;;;;
1;5;1197;1378800;404;791;;;;;;
1;6;1475;1702600;530;942;;;;;;
1;7;959;1312100;456;500;;;;;;
1;8;1320;1441100;637;681;;;;;;
1;9;1381;2037000;502;876;;;;;;
1;10;1307;1434500;444;860;;;;;;
1;11;1731;2904300;835;891;;;;;;
1;12;2905;3213000;1173;1727;;;;;;
1;13;2558;3216500;916;1637;;;;;;
1;14;2643;3160100;900;1739;;;;;;
1;15;2728;3428500;973;1750;;;;;;
1;16;2929;3115100;1212;1712;;;;;;
1;17;1997;2802100;899;1094;;;;;;
1;18;2365;3038100;828;1533;;;;;;
1;19;1995;3019100;911;1079;;;;;;
1;20;2191;2959700;835;1351;;;;;;
1;21;22;1659300;11;8;;;;;;
1;22;45;1690500;20;22;;;;;;
1;23;24;1665700;12;10;;;;;;
1;24;33;1699000;15;15;;;;;;
1;25;17;1515500;9;6;;;;;;
1;26;24;1533400;12;9;;;;;;
1;27;122;1535400;49;70;;;;;;
1;28;20;1448000;10;7;;;;;;
1;29;21;1462500;11;8;;;;;;
1;30;28;1505200;14;11;;;;;;
1;31;22;1779200;11;8;;;;;;
1;32;70;1677200;32;35;;;;;;
1;33;81;1453800;35;43;;;;;;
1;34;22;1323100;12;9;;;;;;
1;35;160;1581300;55;103;;;;;;
1;36;1946;1251500;700;1244;;;;;;
1;37;1904;1317500;679;1222;;;;;;
1;38;2906;1340500;989;1915;;;;;;
1;39;2430;1427300;863;1565;;;;;;
1;40;2048;1360800;724;1322;;;;;;
1;41;1022;1219200;409;611;;;;;;
1;42;2448;1319800;825;1621;;;;;;
1;43;1594;1336000;590;1001;;;;;;
1;44;3076;1406500;1220;1854;;;;;;
1;45;1792;1269200;827;962;;;;;;
1;46;2214;1417800;778;1433;;;;;;
1;47;2298;1321700;988;1307;;;;;;
1;48;2093;1314700;726;1365;;;;;;
1;49;1960;1326900;688;1270;;;;;;
1;50;2511;1472300;896;1612;;;;;;
1;51;27;2482500;15;8;;;;;;
1;52;50;2615700;26;20;;;;;;
1;53;50;2633600;27;20;;;;;;
1;54;55;2552900;28;23;;;;;;
1;55;59;2734000;30;25;;;;;;
1;56;60;2605600;29;27;;;;;;
1;57;48;2536200;25;19;;;;;;
1;58;30;2479400;17;10;;;;;;
1;59;45;2610900;24;17;;;;;;
1;60;110;2569200;49;57;;;;;;
1;61;1769;2904900;626;1139;;;;;;
1;62;2319;3118200;948;1367;;;;;;
1;63;2198;2752600;969;1224;;;;;;
1;64;2033;2866900;1009;1019;;;;;;
1;65;2229;2906700;906;1319;;;;;;
1;66;2132;2717000;709;1418;;;;;;
1;67;2132;2698600;771;1357;;;;;;
1;68;2236;3118100;800;1431;;;;;;
1;69;2295;2793700;829;1461;;;;;;
1;70;2332;2879100;1013;1315;;;;;;
1;71;5061;3340100;1945;3110;;;;;;
1;72;3571;2807200;1424;2142;;;;;;
1;73;4176;3151800;1676;2495;;;;;;
1;74;4901;2960500;1874;3022;;;;;;
1;75;5635;3174000;2009;3621;;;;;;
1;76;4188;3020800;1495;2689;;;;;;
1;77;4216;2949600;1502;2709;;;;;;
1;78;3397;2837100;1205;2188;;;;;;
1;79;3986;2898800;1390;2591;;;;;;
1;80;4159;2959100;1768;2386;;;;;;
2;1;923;1428500;445;475;;;;;;
2;2;964;1380900;378;584;;;;;;
2;3;1539;1748400;759;777;;;;;;
2;4;1738;1560700;863;872;;;;;;
2;5;1150;1714300;392;755;;;;;;
2;6;1653;1692800;646;1004;;;;;;
2;7;1074;1671800;362;709;;;;;;
2;8;1316;1467400;444;869;;;;;;
2;9;1378;1726800;519;856;;;;;;
2;10;1473;1634400;558;912;;;;;;
2;11;1698;3062600;704;988;;;;;;
2;12;3206;3216300;1311;1890;;;;;;
2;13;2699;3347700;1083;1611;;;;;;
2;14;2701;3352200;950;1746;;;;;;
2;15;2930;3399000;996;1929;;;;;;
2;16;3030;3158500;1432;1593;;;;;;
2;17;2318;3856000;865;1447;;;;;;
2;18;2382;2897600;807;1571;;;;;;
2;19;2041;3273600;727;1309;;;;;;
2;20;2166;3201900;796;1365;;;;;;
2;21;21;1560700;11;7;;;;;;
2;22;45;1721800;21;21;;;;;;
2;23;23;1657900;11;9;;;;;;
